Model,Noise Type_p_ε,Circuit,RA(%),VT(s),RA(%),VT(s)
mnist79,bit-flip_0.0001_0.0005,c_2,100.00,2.4876,100.00,2.4876
mnist89,phase-flip_0.001_0.0003,c_0,100.00,0.0614,100.00,0.0615
mnist89,phase-flip_0.001_0.0003,c_1,100.00,0.3208,100.00,0.3209
mnist89,phase-flip_0.001_0.0003,c_2,100.00,0.3233,100.00,0.3233

fashion10,depolarizing_0.001_0.0001,c_0,100.00,9.2821,100.00,9.2834
fashion10,depolarizing_0.001_0.0001,c_1,100.00,10.8051,100.00,10.8051
fashion10,depolarizing_0.001_0.0001,c_2,100.00,5.9109,100.00,5.9113
fashion10,depolarizing_0.001_0.0005,c_0,100.00,0.2666,100.00,0.2668
fashion10,depolarizing_0.001_0.0005,c_1,100.00,5.7477,100.00,5.7477
fashion10,depolarizing_0.001_0.0005,c_2,100.00,5.7891,100.00,5.7891

fashion10,depolarizing_0.001_0.0005,c_0,100.00,0.2666,100.00,0.2668
fashion10,depolarizing_0.001_0.0005,c_1,100.00,5.7477,100.00,5.7477
fashion10,depolarizing_0.001_0.0005,c_2,100.00,5.7891,100.00,5.7891
fashion10,depolarizing_0.001_0.0007,c_0,0.00,0.2272,0.00,870.2984
fashion10,depolarizing_0.001_0.0007,c_1,100.00,5.9210,100.00,5.9210
fashion10,depolarizing_0.001_0.0007,c_2,100.00,6.7439,100.00,6.7440

fashion10,depolarizing_0.001_0.00061,c_0,100.00,0.1408,100.00,0.1408
fashion10,depolarizing_0.001_0.00061,c_1,100.00,4.4465,100.00,4.4466
fashion10,depolarizing_0.001_0.00061,c_2,100.00,4.4037,100.00,4.4038
fashion10,depolarizing_0.001_0.00062,c_0,0.00,0.1312,0.00,844.8438
fashion10,depolarizing_0.001_0.00062,c_1,100.00,6.1741,100.00,6.1741
fashion10,depolarizing_0.001_0.00062,c_2,100.00,6.1346,100.00,6.1347
fashion10,depolarizing_0.001_0.00063,c_0,0.00,0.1512,0.00,801.5114
fashion10,depolarizing_0.001_0.00063,c_1,100.00,6.6064,100.00,6.6064
fashion10,depolarizing_0.001_0.00063,c_2,100.00,6.5323,100.00,6.5324

fashion10,depolarizing_0.001_0.00061,c_0,100.00,0.2273,100.00,0.2273
fashion10,depolarizing_0.001_0.00061,c_1,100.00,4.2861,100.00,4.2861
fashion10,depolarizing_0.001_0.00061,c_2,100.00,4.7382,100.00,4.7386
fashion10,depolarizing_0.001_0.000611,c_0,100.00,0.1282,100.00,0.1282
fashion10,depolarizing_0.001_0.000611,c_1,100.00,3.7438,100.00,3.7438
fashion10,depolarizing_0.001_0.000611,c_2,100.00,3.7235,100.00,3.7236
fashion10,depolarizing_0.001_0.000612,c_0,100.00,0.1310,100.00,0.1310
fashion10,depolarizing_0.001_0.000612,c_1,100.00,3.7478,100.00,3.7479
fashion10,depolarizing_0.001_0.000612,c_2,100.00,3.8103,100.00,3.8103
fashion10,depolarizing_0.001_0.000613,c_0,100.00,0.1340,100.00,0.1340
fashion10,depolarizing_0.001_0.000613,c_1,100.00,3.8136,100.00,3.8136
fashion10,depolarizing_0.001_0.000613,c_2,100.00,3.7996,100.00,3.7997
fashion10,depolarizing_0.001_0.000614,c_0,100.00,0.1343,100.00,0.1343
fashion10,depolarizing_0.001_0.000614,c_1,100.00,3.7097,100.00,3.7098
fashion10,depolarizing_0.001_0.000614,c_2,100.00,3.7618,100.00,3.7618
fashion10,depolarizing_0.001_0.000615,c_0,100.00,0.1602,100.00,0.1604
fashion10,depolarizing_0.001_0.000615,c_1,100.00,3.8534,100.00,3.8534
fashion10,depolarizing_0.001_0.000615,c_2,100.00,3.5816,100.00,3.5816
fashion10,depolarizing_0.001_0.000616,c_0,100.00,0.2027,100.00,0.2029
fashion10,depolarizing_0.001_0.000616,c_1,100.00,3.8115,100.00,3.8116
fashion10,depolarizing_0.001_0.000616,c_2,100.00,3.5618,100.00,3.5618
fashion10,depolarizing_0.001_0.000617,c_0,100.00,0.1830,100.00,0.1831
fashion10,depolarizing_0.001_0.000617,c_1,100.00,4.0974,100.00,4.0975
fashion10,depolarizing_0.001_0.000617,c_2,100.00,3.8959,100.00,3.8959
fashion10,depolarizing_0.001_0.000618,c_0,0.00,0.1248,0.00,843.2319
fashion10,depolarizing_0.001_0.000618,c_1,100.00,5.8064,100.00,5.8064
fashion10,depolarizing_0.001_0.000618,c_2,100.00,5.9603,100.00,5.9603
fashion10,depolarizing_0.001_0.000619,c_0,0.00,0.1636,0.00,884.1638
fashion10,depolarizing_0.001_0.000619,c_1,100.00,6.4417,100.00,6.4418
fashion10,depolarizing_0.001_0.000619,c_2,100.00,6.3553,100.00,6.3553
